Name,Median Household Income
"Apache County, Arizona",29417
"Cochise County, Arizona",43291
"Coconino County, Arizona",53152
"Gila County, Arizona",41781
"Graham County, Arizona",43512
"La Paz County, Arizona",36952
"Maricopa County, Arizona",56004
"Mohave County, Arizona",40908
"Navajo County, Arizona",37833
"Pima County, Arizona",47099
"Pinal County, Arizona",50770
"Santa Cruz County, Arizona",31632
"Yavapai County, Arizona",48105
"Yuma County, Arizona",40539
"Ashley County, Arkansas",40330
"Baxter County, Arkansas",36208
"Benton County, Arkansas",58770
"Boone County, Arkansas",41017
"Carroll County, Arkansas",38903
"Clark County, Arkansas",36117
"Cleburne County, Arkansas",45316
"Columbia County, Arkansas",36605
"Conway County, Arkansas",44615
"Craighead County, Arkansas",40085
"Crawford County, Arkansas",47641
"Crittenden County, Arkansas",37430
"Faulkner County, Arkansas",50596
"Garland County, Arkansas",37013
"Greene County, Arkansas",44933
"Hempstead County, Arkansas",33790
"Hot Spring County, Arkansas",33024
"Independence County, Arkansas",32091
"Jefferson County, Arkansas",35381
"Johnson County, Arkansas",33493
"Logan County, Arkansas",37312
"Lonoke County, Arkansas",56893
"Miller County, Arkansas",37180
"Mississippi County, Arkansas",32554
"Ouachita County, Arkansas",37080
"Poinsett County, Arkansas",31701
"Polk County, Arkansas",34096
"Pope County, Arkansas",36392
"Pulaski County, Arkansas",46070
"St. Francis County, Arkansas",34668
"Saline County, Arkansas",55051
"Sebastian County, Arkansas",40448
"Union County, Arkansas",41847
"Washington County, Arkansas",46160
"White County, Arkansas",38986
"Yell County, Arkansas",37078
"Alameda County, California",81717
"Amador County, California",57400
"Butte County, California",45644
"Calaveras County, California",48329
"Colusa County, California",57616
"Contra Costa County, California",83104
"Del Norte County, California",40873
"El Dorado County, California",79019
"Fresno County, California",46949
"Glenn County, California",34197
"Humboldt County, California",40484
"Imperial County, California",40852
"Kern County, California",51342
"Kings County, California",45746
"Lake County, California",37294
"Lassen County, California",60622
"Los Angeles County, California",59134
"Madera County, California",47150
"Marin County, California",100662
"Mendocino County, California",41896
"Merced County, California",41997
"Monterey County, California",60494
"Napa County, California",75513
"Nevada County, California",54177
"Orange County, California",78428
"Placer County, California",75708
"Riverside County, California",58292
"Sacramento County, California",58942
"San Benito County, California",86268
"San Bernardino County, California",53803
"San Diego County, California",67320
"San Francisco County, California",92094
"San Joaquin County, California",53705
"San Luis Obispo County, California",62648
"San Mateo County, California",101272
"Santa Barbara County, California",63625
"Santa Clara County, California",102340
"Santa Cruz County, California",65139
"Shasta County, California",46693
"Siskiyou County, California",36120
"Solano County, California",67443
"Sonoma County, California",66674
"Stanislaus County, California",52363
"Sutter County, California",52277
"Tehama County, California",38046
"Tulare County, California",42413
"Tuolumne County, California",55792
"Ventura County, California",80032
"Yolo County, California",58966
"Yuba County, California",50451
"Adams County, Colorado",63493
"Arapahoe County, Colorado",67002
"Boulder County, Colorado",72009
"Broomfield County, Colorado",84921
"Delta County, Colorado",40236
"Denver County, Colorado",58003
"Douglas County, Colorado",107650
"Eagle County, Colorado",74161
"Elbert County, Colorado",93613
"El Paso County, Colorado",60109
"Fremont County, Colorado",39309
"Garfield County, Colorado",63233
"Jefferson County, Colorado",71136
"La Plata County, Colorado",60817
"Larimer County, Colorado",64919
"Logan County, Colorado",42236
"Mesa County, Colorado",51465
"Montezuma County, Colorado",40093
"Montrose County, Colorado",45175
"Morgan County, Colorado",49909
"Pueblo County, Colorado",40050
"Routt County, Colorado",71079
"Summit County, Colorado",73146
"Teller County, Colorado",72500
"Weld County, Colorado",70256
"Fairfield County, Connecticut",86414
"Hartford County, Connecticut",69622
"Litchfield County, Connecticut",70667
"Middlesex County, Connecticut",83530
"New Haven County, Connecticut",61760
"New London County, Connecticut",65764
"Tolland County, Connecticut",82168
"Windham County, Connecticut",62905
"Kent County, Delaware",56778
"New Castle County, Delaware",66256
"Sussex County, Delaware",55065
"District of Columbia, District of Columbia",75628
"Alachua County, Florida",47895
"Baker County, Florida",60259
"Bay County, Florida",48259
"Bradford County, Florida",41995
"Brevard County, Florida",50416
"Broward County, Florida",53926
"Charlotte County, Florida",45492
"Citrus County, Florida",40294
"Clay County, Florida",58676
"Collier County, Florida",62126
"Columbia County, Florida",47808
"DeSoto County, Florida",32658
"Duval County, Florida",49554
"Escambia County, Florida",46001
"Flagler County, Florida",48864
"Gadsden County, Florida",35462
"Hardee County, Florida",35334
"Hendry County, Florida",40295
"Hernando County, Florida",43590
"Highlands County, Florida",34242
"Hillsborough County, Florida",51725
"Indian River County, Florida",49379
"Jackson County, Florida",34479
"Lake County, Florida",50305
"Lee County, Florida",50651
"Leon County, Florida",46002
"Levy County, Florida",36015
"Manatee County, Florida",50835
"Marion County, Florida",40050
"Martin County, Florida",51622
"Miami-Dade County, Florida",43786
"Monroe County, Florida",61020
"Nassau County, Florida",52005
"Okaloosa County, Florida",55659
"Okeechobee County, Florida",33942
"Orange County, Florida",50720
"Osceola County, Florida",45244
"Palm Beach County, Florida",56664
"Pasco County, Florida",46133
"Pinellas County, Florida",47618
"Polk County, Florida",44061
"Putnam County, Florida",31483
"St. Johns County, Florida",70379
"St. Lucie County, Florida",45905
"Santa Rosa County, Florida",59682
"Sarasota County, Florida",56286
"Seminole County, Florida",57074
"Sumter County, Florida",51335
"Suwannee County, Florida",36972
"Taylor County, Florida",37213
"Volusia County, Florida",42175
"Wakulla County, Florida",44982
"Walton County, Florida",46866
"Washington County, Florida",34653
"Baldwin County, Georgia",34255
"Barrow County, Georgia",53156
"Bartow County, Georgia",50572
"Bibb County, Georgia",38605
"Bryan County, Georgia",60996
"Bulloch County, Georgia",33477
"Burke County, Georgia",39069
"Butts County, Georgia",37196
"Camden County, Georgia",54717
"Carroll County, Georgia",43410
"Catoosa County, Georgia",51012
"Chatham County, Georgia",49252
"Chattooga County, Georgia",38398
"Cherokee County, Georgia",74104
"Clarke County, Georgia",31284
"Clayton County, Georgia",42120
"Cobb County, Georgia",70246
"Coffee County, Georgia",33600
"Colquitt County, Georgia",33005
"Columbia County, Georgia",75440
"Coweta County, Georgia",67351
"Crisp County, Georgia",26087
"Dawson County, Georgia",64393
"Decatur County, Georgia",41686
"DeKalb County, Georgia",54057
"Dodge County, Georgia",35844
"Dougherty County, Georgia",35645
"Douglas County, Georgia",59329
"Effingham County, Georgia",62116
"Emanuel County, Georgia",33723
"Fannin County, Georgia",42825
"Fayette County, Georgia",78557
"Floyd County, Georgia",40510
"Forsyth County, Georgia",94537
"Franklin County, Georgia",38619
"Fulton County, Georgia",60291
"Gilmer County, Georgia",51574
"Glynn County, Georgia",46125
"Gordon County, Georgia",37398
"Grady County, Georgia",34117
"Gwinnett County, Georgia",61732
"Habersham County, Georgia",44138
"Hall County, Georgia",55009
"Haralson County, Georgia",37548
"Harris County, Georgia",64957
"Hart County, Georgia",36049
"Henry County, Georgia",65342
"Houston County, Georgia",55044
"Jackson County, Georgia",58029
"Jones County, Georgia",52787
"Laurens County, Georgia",32914
"Lee County, Georgia",72649
"Liberty County, Georgia",36573
"Lowndes County, Georgia",34455
"Lumpkin County, Georgia",45795
"McDuffie County, Georgia",32066
"Madison County, Georgia",38173
"Meriwether County, Georgia",37332
"Mitchell County, Georgia",35851
"Monroe County, Georgia",46723
"Murray County, Georgia",44046
"Muscogee County, Georgia",41859
"Newton County, Georgia",50806
"Oconee County, Georgia",72194
"Paulding County, Georgia",60214
"Peach County, Georgia",40450
"Pickens County, Georgia",67813
"Polk County, Georgia",37028
"Putnam County, Georgia",49303
"Richmond County, Georgia",41672
"Washington County, Minnesota",87995
"Winona County, Minnesota",55866
"Wright County, Minnesota",76306
"Adams County, Mississippi",30906
"Alcorn County, Mississippi",46756
"Bolivar County, Mississippi",25666
"Clay County, Mississippi",27220
"Coahoma County, Mississippi",21951
"Copiah County, Mississippi",34232
"DeSoto County, Mississippi",60394
"Forrest County, Mississippi",33779
"George County, Mississippi",46965
"Grenada County, Mississippi",32418
"Hancock County, Mississippi",48225
"Harrison County, Mississippi",42297
"Hinds County, Mississippi",39002
"Itawamba County, Mississippi",33517
"Jackson County, Mississippi",45596
"Jones County, Mississippi",32856
"Lafayette County, Mississippi",41572
"Lamar County, Mississippi",53871
"Lauderdale County, Mississippi",37676
"Leake County, Mississippi",35948
"Lee County, Mississippi",39581
"Leflore County, Mississippi",24540
"Lincoln County, Mississippi",42247
"Lowndes County, Mississippi",45274
"Madison County, Mississippi",67907
"Marion County, Mississippi",30107
"Marshall County, Mississippi",41750
