Name,Life Expectancy
"Caswell County, North Carolina",75.71666666666667
"Catahoula Parish, Louisiana",72.86666666666667
"Catawba County, North Carolina",75.94333333333336
"Catoosa County, Georgia",76.49090909090908
"Catron County, New Mexico",78.7
"Cattaraugus County, New York",79.4
"Cavalier County, North Dakota",81.25
"Cayuga County, New York",80.92631578947369
"Cecil County, Maryland",76.67777777777778
"Cedar County, Iowa",82.17999999999999
"Cedar County, Missouri",74.9
"Cedar County, Nebraska",81.25
"Centre County, Pennsylvania",81.78260869565216
"Cerro Gordo County, Iowa",80.41000000000001
"Chaffee County, Colorado",79.94999999999999
"Chambers County, Alabama",73.6111111111111
"Chambers County, Texas",77.86000000000001
"Champaign County, Illinois",80.00000000000003
"Champaign County, Ohio",76.97777777777779
"Chariton County, Missouri",78.73333333333333
"Charles City County, Virginia",76.83333333333333
"Charles County, Maryland",79.6689655172414
"Charles Mix County, South Dakota",80.26666666666667
"Charleston County, South Carolina",77.61599999999999
"Charlevoix County, Michigan",79.30833333333332
"Charlotte County, Florida",78.725
"Charlotte County, Virginia",77.3
"Charlottesville city, Virginia",79.10999999999999
"Charlton County, Georgia",76.6
"Chase County, Kansas",78.9
"Chase County, Nebraska",78.4
"Chatham County, Georgia",76.24500000000003
"Chatham County, North Carolina",82.09166666666667
"Chattahoochee County, Georgia",73.4
"Chattooga County, Georgia",72.9
"Chautauqua County, Kansas",77.4
"Chautauqua County, New York",78.85294117647061
"Chaves County, New Mexico",77.16875
"Cheatham County, Tennessee",75.0
"Cheboygan County, Michigan",79.1625
"Chelan County, Washington",80.4230769230769
"Chemung County, New York",77.56666666666668
"Chenango County, New York",80.56666666666665
"Cherokee County, Alabama",74.08333333333333
"Cherokee County, Georgia",79.11666666666665
"Cherokee County, Iowa",80.05000000000001
"Cherokee County, Kansas",74.63333333333334
"Cherokee County, North Carolina",76.17142857142856
"Cherokee County, Oklahoma",74.76666666666667
"Cherokee County, South Carolina",74.18461538461538
"Cherokee County, Texas",76.45
