Name,Median Household Income,Life Expectancy
"Collier County, Florida",62126,81.59152542372883
"Columbia County, Florida",47808,74.75454545454546
"DeSoto County, Florida",32658,77.97777777777779
"Duval County, Florida",49554,75.76826347305389
"Escambia County, Florida",46001,75.15373134328361
"Flagler County, Florida",48864,79.00526315789475
"Gadsden County, Florida",35462,75.62222222222222
"Hardee County, Florida",35334,79.53333333333335
"Hendry County, Florida",40295,78.31666666666668
"Hernando County, Florida",43590,76.17499999999998
"Highlands County, Florida",34242,77.42608695652174
"Hillsborough County, Florida",51725,77.53308270676695
"Indian River County, Florida",49379,79.6777777777778
"Jackson County, Florida",34479,74.72727272727272
"Lake County, Florida",50305,77.76470588235294
"Lee County, Florida",50651,78.68750000000001
"Leon County, Florida",46002,77.57543859649125
"Levy County, Florida",36015,74.925
"Manatee County, Florida",50835,78.9972972972973
"Marion County, Florida",40050,75.44814814814815
"Martin County, Florida",51622,81.60645161290323
"Miami-Dade County, Florida",43786,80.5551362683438
"Monroe County, Florida",61020,79.42399999999999
"Nassau County, Florida",52005,78.21666666666668
"Okaloosa County, Florida",55659,78.0157894736842
"Okeechobee County, Florida",33942,77.05555555555556
"Orange County, Florida",50720,78.43597883597883
"Osceola County, Florida",45244,79.13235294117646
"Palm Beach County, Florida",56664,80.35435540069687
"Pasco County, Florida",46133,76.32123893805311
"Pinellas County, Florida",47618,77.6485981308411
"Polk County, Florida",44061,77.26666666666667
"Putnam County, Florida",31483,74.51875000000001
"St. Johns County, Florida",70379,80.34242424242424
"St. Lucie County, Florida",45905,77.72790697674421
"Santa Rosa County, Florida",59682,77.24583333333332
"Sarasota County, Florida",56286,80.29012345679013
"Seminole County, Florida",57074,79.7898734177215
"Sumter County, Florida",51335,76.05833333333332
"Suwannee County, Florida",36972,75.74285714285715
"Taylor County, Florida",37213,76.075
"Volusia County, Florida",42175,77.03904761904762
"Wakulla County, Florida",44982,76.55
"Walton County, Florida",46866,78.13636363636364
"Washington County, Florida",34653,74.08333333333333
"Baldwin County, Georgia",34255,75.04444444444445
"Barrow County, Georgia",53156,75.16470588235292
"Bartow County, Georgia",50572,76.03571428571429
"Bibb County, Georgia",38605,73.45641025641028
"Bryan County, Georgia",60996,76.14000000000001
"Bulloch County, Georgia",33477,75.61111111111113
"Burke County, Georgia",39069,73.83999999999999
"Butts County, Georgia",37196,75.8
"Camden County, Georgia",54717,76.39999999999999
"Carroll County, Georgia",43410,75.025
"Catoosa County, Georgia",51012,76.49090909090908
"Chatham County, Georgia",49252,76.24500000000003
"Chattooga County, Georgia",38398,72.9
"Cherokee County, Georgia",74104,79.11666666666665
"Clarke County, Georgia",31284,77.49166666666665
"Clayton County, Georgia",42120,75.40476190476191
"Cobb County, Georgia",70246,79.41962616822434
"Coffee County, Georgia",33600,73.16250000000001
"Colquitt County, Georgia",33005,75.30999999999999
"Columbia County, Georgia",75440,78.38333333333334
"Coweta County, Georgia",67351,77.34736842105265
"Crisp County, Georgia",26087,74.95
"Dawson County, Georgia",64393,77.03333333333333
"Decatur County, Georgia",41686,74.35714285714286
"DeKalb County, Georgia",54057,77.7388888888889
"Dodge County, Georgia",35844,75.60000000000001
"Dougherty County, Georgia",35645,74.5076923076923
"Douglas County, Georgia",59329,76.28500000000001
"Effingham County, Georgia",62116,76.24000000000001
"Emanuel County, Georgia",33723,73.10000000000001
"Fannin County, Georgia",42825,75.825
"Fayette County, Georgia",78557,79.77499999999999
"Floyd County, Georgia",40510,75.765
"Forsyth County, Georgia",94537,79.76249999999999
"Franklin County, Georgia",38619,74.44000000000001
"Fulton County, Georgia",60291,77.36481481481478
"Gilmer County, Georgia",51574,79.2
"Glynn County, Georgia",46125,77.23333333333333
"Gordon County, Georgia",37398,76.44444444444444
"Grady County, Georgia",34117,76.5
"Gwinnett County, Georgia",61732,79.04020618556706
"Habersham County, Georgia",44138,78.27499999999999
"Hall County, Georgia",55009,78.11176470588236
"Haralson County, Georgia",37548,73.22
"Harris County, Georgia",64957,80.97500000000001
"Hart County, Georgia",36049,77.02000000000001
"Henry County, Georgia",65342,77.50869565217393
"Houston County, Georgia",55044,77.12272727272725
"Jackson County, Georgia",58029,75.85454545454546
"Jones County, Georgia",52787,75.13333333333333
"Laurens County, Georgia",32914,73.69166666666666
"Lee County, Georgia",72649,77.75
"Liberty County, Georgia",36573,75.97
"Lowndes County, Georgia",34455,75.692
"Lumpkin County, Georgia",45795,77.39999999999999
"McDuffie County, Georgia",32066,74.03999999999999
"Madison County, Georgia",38173,75.30000000000001
"Meriwether County, Georgia",37332,74.125
"Mitchell County, Georgia",35851,75.2
"Monroe County, Georgia",46723,77.03999999999999
"Murray County, Georgia",44046,74.66250000000001
